title,link,snippet
free electron laser | Argonne National Laboratory,https://www.anl.gov/topic/free-electron-laser,"free electron laser. Below is a comprehensive list of articles, events, projects ..."
'Trojan horse' injection method enables ultracompact X-ray free ...,https://physicsworld.com/a/trojan-horse-injection-method-enables-ultracompact-x-ray-free-electron-laser/,"Mar 30, 2023 ... Plasma-X-FEL: artist's representation of the ultracompact X-ray free-electron laser. (Courtesy: University of Strathclyde/Science ..."
Some CLIC with your free-electron laser? | CERN,https://home.cern/news/news/knowledge-sharing/some-clic-your-free-electron-laser,"Feb 14, 2014 ... Some CLIC with your free-electron laser? Happy scientists at the end of acceptance-testing a new X-band klystron at SLAC in January. The testing ..."
Inventor of free-electron laser to lecture at 2015 Nobel Symposium ...,https://manoa.hawaii.edu/kaunana/inventor-of-free-electron-laser-to-lecture-at-2015-nobel-symposium/,"May 20, 2014 ... The free-electron laser FELIX at the FOM Institute for Plasma Physics Rijnhuizen, Nieuwegein, The Netherlands. Image from Wikipedia."
The SwissFEL soft X‐ray free‐electron laser beamline: Athos,https://onlinelibrary.wiley.com/doi/full/10.1107/S1600577519003928,"Jun 21, 2019 ... Only a soft X-ray free-electron laser (FEL), such as Athos at SwissFEL, offers the combination of peak intensity, wavelength tunability and ..."
Free Electron Laser (FEL) and Inverse Free Electron Laser (IFEL),https://uspas.fnal.gov/materials/08UMD/Lecture5b.pdf,"Free Electron Laser (FEL) and Inverse Free. Electron Laser (IFEL). Triveni Rao, USPAS 2008, Annapolis. Page 2. The longitudinal component describes the ..."
FEL Core Facilities,https://www.vanderbilt.edu/vbc/facilities/index.php,"The core facilities of the Biophotonics Center is located at a renovated state-of-the-art facility, formerly known as the W.M. Keck Free Electron Laser ..."
X-Ray Free Electron Lasers,https://nucleus.iaea.org/sites/accelerators/Pages/Free-Electron-Lasers.aspx,"FERMI (Free Electron laser Radiation for Multidisciplinary Investigations) - Elettra Sincrotrone, Trieste, Italy. LCLS (Linac Coherent Light Source) ..."
"Free Electron Laser - Helmholtz-Zentrum Dresden-Rossendorf, HZDR",https://www.hzdr.de/db/Cms?pOid=10234&pNid=471&pLang=en,FELBE is an acronym for the free-electron laser (FEL) at the Electron Linear accelerator with high Brilliance and Low Emittance (ELBE) located at the ...
NP Free Electron Laser Program ... | U.S. DOE Office of Science (SC),https://science.osti.gov/np/Benefits-of-NP/Applications-of-Nuclear-Science/Archives/Free-Electron-Laser-Program--Program-at-TJNAF,Application/instrumentation: Free Electron Laser (FEL) Program Developed at: Thomas Jefferson National Laboratory Developed in: 1990's – 2010 Result of NP ...
Free electron laser strategic review – UKRI,https://www.ukri.org/about-us/stfc/planning-strategy-reviews/fel-strategic-review/,"Mar 31, 2022 ... Download the free electron laser (FEL) strategic review report 2016."
The seed laser system of the FERMI free-electron laser: design ...,https://www.cambridge.org/core/journals/high-power-laser-science-and-engineering/article/seed-laser-system-of-the-fermi-freeelectron-laser-design-performance-and-near-future-upgrades/C736ADC0CD3F5F0D6648C217EB4EBD75,"Oct 25, 2021 ... FERMI was the first free-electron laser (FEL) facility where external seeding was implemented. It is based on the high-gain harmonic ..."
W M Keck Free Electron Laser Center parking - free or cheap lots ...,https://en.parkopedia.com/parking/building/w-m-keck-free-electron-laser-center-davidson-tn/,"Find parking costs, opening hours and a parking map of all W M Keck Free Electron Laser Center parking lots, street parking, parking meters and private ..."
(IUCr) Application of mid-infrared free-electron laser for structural ...,https://journals.iucr.org/s/issues/2021/01/00/gb5114/,A mid-infrared free-electron laser (MIR-FEL) is a synchrotron-radiation-based femto- to pico-second pulse laser. It has unique characteristics such as ...
DESY - FLASH - Free-Electron Laser FLASH,https://flash.desy.de/,Free-Electron Laser FLASH · FLASH: from the extreme ultra-violet to the water window. The FLASH accelerator is equipped with seven 12 m long TESLA-type ...
An Ultra-Compact X-ray Free-Electron Laser | Colloquium Series at ...,https://sites.slac.stanford.edu/colloquium/events/ultra-compact-x-ray-free-electron-laser,"Feb 8, 2021 ... He has been the recipient of Sloan and Wilson Fellowships, and has received the International Free-electron Laser Prize."
Free electron laser and harmonic generation: Synchrotron Radiation ...,https://www.tandfonline.com/doi/abs/10.1080/08940888908261211,"May 6, 2008 ... (1989). Free electron laser and harmonic generation. Synchrotron Radiation News: Vol. 2, No. 3, pp. 18-23."
11th International Free Electron Laser Conference - INSPIRE,https://inspirehep.net/conferences/967793,"11th International Free Electron Laser Conference. 28 August-1 September 1989. Naples,; FL,; United States. (C89-08-28.5). Accelerators."
First seeded free electron laser shines for users: Physics Today: Vol ...,https://physicstoday.scitation.org/doi/10.1063/PT.3.1784,"A free electron laser (FEL) in Trieste, Italy, began producing 40- to 150-fs pulses at soft x-ray and extreme-UV wavelengths last year, and commissioning ..."
free-electron laser Archives » FindLight Blog,https://www.findlight.net/blog/tag/free-electron-laser/,The mid-IR free-electron laser has been used in the medical sector for some time now. Laser usage in medicine has opened many doors and created countless ...
X-ray free electron laser: opportunities for drug discovery | Essays in ...,https://portlandpress.com/essaysbiochem/article-abstract/61/5/529/78252/X-ray-free-electron-laser-opportunities-for-drug,The unique properties of X-ray free electron laser (XFEL) with unmet peak brilliance and beam focus allow X-ray diffraction data recording and successful ...
Design of a short-period-wiggler free electron laser experiment,https://digitalarchive.rit.edu/xmlui/handle/1850/10231,Design of a short-period-wiggler free electron laser experiment. Thumbnail. View/Open. WDestlerAbstract06-1987.pdf (195.7Kb). Date. 1987-06. Author.
Time-resolved protein nanocrystallography using an X-ray free ...,https://escholarship.org/uc/item/84s7r81k,We demonstrate the use of an X-ray free electron laser synchronized with an optical pump laser to obtain X-ray diffraction snapshots from the photoactivated ...
John Madey on the free-electron laser - YouTube,https://www.youtube.com/watch?v=tORTVMVOGYo,"Nov 15, 2010 ... John M.J. Madey is a professor of Physics at the University of Hawaii at Manoa, a former director of the Free Electron Laser Centre at Duke ..."
Evolution Of The Electron Beam Envelope In A Free Electron Laser ...,https://nps.edu/web/nps-video-portal/-/lry-hsh2iquvev3gsldymvqgf4ks7yi,"Shen Nainn-Tzuu, TW. The free electron laser (FEL) is a new generation of laser whose development motivates further research in basic and applied physics."
